Typologie du marché,Montant du contrat,Garantie,Délai de réalisation,Expérience fournisseur,Nombre de projets similaires,Notation interne,Chiffre d'affaire,Situation fiscale,Fournisseur blacklisté,Visa (Oui/Non)
Fournitures,5313235,Caution,8,5,4,12,37188872,Conforme,Non,Oui
Fournitures,7802045,Aucune,8,4,1,16,25921984,Non conforme,Oui,Non
Fournitures,9866444,Retenu,4,5,3,19,25601065,Conforme,Non,Oui
Travaux,6306584,Aucune,6,5,4,16,34819401,Conforme,Oui,Non
Travaux,5686685,Retenu,3,8,3,14,46679883,Conforme,Oui,Non
Fournitures,6740286,Aucune,8,6,2,19,14475676,Conforme,Oui,Non
Travaux,4029039,Caution,6,9,1,15,39663227,Non conforme,Non,Oui
Fournitures,4056392,Retenu,3,8,3,10,24616620,Conforme,Oui,Non
Travaux,8081684,Aucune,4,8,5,19,17256019,Conforme,Non,Oui
Fournitures,4124924,Aucune,3,6,2,15,35544644,Conforme,Non,Oui
Travaux,6064437,Aucune,8,3,3,19,30321817,Conforme,Non,Oui
Services,6332165,Caution,6,9,5,13,29481931,Conforme,Oui,Non
Fournitures,4225895,Caution,4,7,4,19,28579075,Non conforme,Oui,Non
Travaux,6258977,Aucune,4,1,3,12,36759665,Conforme,Non,Oui
Fournitures,4149003,Aucune,4,3,2,15,46990269,Non conforme,Oui,Non
Travaux,5388718,Retenu,8,6,0,15,18716793,Conforme,Non,Oui
Fournitures,6039920,Caution,6,2,0,11,27339845,Non conforme,Non,Non
Services,8791531,Caution,8,4,2,17,28275552,Non conforme,Oui,Non
Services,9756040,Aucune,6,1,4,10,42237320,Non conforme,Oui,Non
Fournitures,8983550,Aucune,4,2,1,14,29410648,Conforme,Oui,Non
Travaux,5711873,Caution,3,10,2,16,15418244,Non conforme,Oui,Non
Fournitures,4663236,Caution,8,3,3,15,29527114,Conforme,Non,Oui
Services,8021558,Caution,6,1,3,20,35016707,Conforme,Non,Oui
Services,9984911,Caution,8,2,4,15,39735908,Conforme,Non,Oui
Fournitures,7369588,Retenu,8,8,2,18,30892529,Conforme,Oui,Non
Travaux,4394477,Caution,4,4,1,10,12213634,Conforme,Oui,Non
Travaux,7357552,Aucune,3,8,2,17,47608367,Conforme,Non,Oui
Travaux,9314812,Aucune,6,10,1,11,31922492,Conforme,Non,Oui
Services,9478080,Caution,6,9,3,10,14520487,Conforme,Non,Oui
Travaux,4681886,Aucune,3,1,3,10,39876458,Conforme,Non,Oui
Fournitures,5005856,Retenu,3,9,5,13,30080857,Non conforme,Non,Non
Travaux,5689446,Aucune,3,6,3,19,41072925,Conforme,Oui,Non
Travaux,7067457,Caution,6,8,4,18,41850422,Non conforme,Oui,Non
Services,4048643,Caution,3,8,0,16,47731542,Conforme,Oui,Non
Services,5992316,Aucune,4,9,5,15,35378050,Conforme,Non,Oui
Travaux,7459609,Retenu,4,9,4,13,29945569,Non conforme,Non,Non
Travaux,7170388,Retenu,4,10,4,18,22369798,Conforme,Non,Oui
Fournitures,9282483,Retenu,3,9,2,14,15999930,Conforme,Oui,Non
Fournitures,5492106,Caution,4,4,0,18,12529053,Conforme,Non,Oui
Travaux,4074129,Retenu,4,10,4,10,17634467,Conforme,Non,Oui
Fournitures,6867100,Aucune,3,3,4,13,11115747,Non conforme,Oui,Non
Services,5149955,Aucune,4,2,1,12,38396174,Non conforme,Oui,Non
Travaux,4420214,Caution,4,8,3,14,25675867,Conforme,Oui,Non
Fournitures,5855543,Aucune,4,8,5,11,15951385,Conforme,Non,Oui
Fournitures,8698565,Retenu,8,10,5,12,49318180,Non conforme,Oui,Non
Services,7079633,Caution,4,9,1,16,14598927,Conforme,Oui,Non
Fournitures,7058731,Retenu,3,2,4,10,28891587,Non conforme,Oui,Non
Services,7306312,Caution,3,8,0,10,42258938,Non conforme,Oui,Non
Services,6462857,Retenu,8,5,2,12,22775376,Non conforme,Oui,Non
Services,9334924,Aucune,6,9,3,13,24881825,Conforme,Oui,Non
Services,4315619,Aucune,6,6,4,15,25904285,Conforme,Oui,Non
Travaux,5703057,Aucune,3,4,5,14,36735568,Non conforme,Non,Oui
Fournitures,7382606,Retenu,3,8,5,10,30318460,Non conforme,Non,Non
Services,5851265,Aucune,6,6,3,13,14234462,Conforme,Oui,Non
Fournitures,5923956,Retenu,4,9,1,12,49442540,Conforme,Oui,Non
Services,9840434,Caution,4,8,5,18,23940889,Conforme,Non,Oui
Services,7110884,Retenu,6,1,5,17,44826556,Conforme,Non,Oui
Travaux,8431506,Aucune,8,4,0,15,20845869,Conforme,Oui,Non
Fournitures,7003182,Caution,6,1,4,20,39912255,Non conforme,Oui,Non
Fournitures,7856435,Retenu,8,4,5,17,11122936,Non conforme,Non,Oui
Travaux,8877320,Retenu,8,5,0,17,36034929,Conforme,Oui,Non
Fournitures,7619942,Retenu,4,7,1,10,24867995,Conforme,Non,Oui
Services,5521505,Caution,3,9,3,17,23734733,Non conforme,Oui,Non
Services,7520558,Caution,8,4,2,11,33201790,Conforme,Non,Oui
Travaux,4561177,Aucune,4,9,0,20,43396923,Non conforme,Non,Oui
Services,8869372,Retenu,8,8,5,20,18149281,Conforme,Oui,Non
Fournitures,7025921,Caution,3,6,0,14,17402243,Conforme,Non,Oui
Travaux,6368707,Caution,3,2,3,16,28472297,Non conforme,Non,Oui
Services,4704348,Aucune,3,8,2,20,17838226,Conforme,Oui,Non
Services,6048702,Caution,6,4,3,15,10295514,Non conforme,Oui,Non
Services,9653625,Retenu,4,10,2,13,20379705,Conforme,Non,Oui
Fournitures,4120780,Caution,3,9,5,17,14812803,Non conforme,Non,Oui
Services,8234839,Caution,6,4,0,17,30498505,Conforme,Oui,Non
Services,7692887,Caution,8,1,2,17,47447044,Non conforme,Non,Oui
Fournitures,5895140,Retenu,8,8,3,15,21869091,Conforme,Non,Oui
Fournitures,9653276,Caution,3,8,1,11,45523499,Non conforme,Oui,Non
Fournitures,9118026,Aucune,3,7,5,16,15667125,Non conforme,Oui,Non
Travaux,4684847,Aucune,8,2,1,12,29362075,Non conforme,Oui,Non
Fournitures,4323490,Retenu,4,9,2,19,36970489,Non conforme,Non,Oui
Services,4181428,Aucune,8,3,3,17,45458578,Non conforme,Non,Oui
Services,4014518,Retenu,6,8,4,10,15890430,Non conforme,Oui,Non
Fournitures,8855575,Aucune,6,5,5,13,42683399,Non conforme,Oui,Non
Travaux,6839847,Aucune,8,1,4,19,28079331,Conforme,Oui,Non
Services,6800654,Retenu,8,4,0,19,45090263,Non conforme,Non,Oui
Services,5253509,Caution,8,10,1,18,16220199,Non conforme,Oui,Non
Travaux,8460528,Retenu,8,8,5,16,15157240,Conforme,Oui,Non
Travaux,4444302,Retenu,6,3,1,20,22833045,Conforme,Non,Oui
Fournitures,8298572,Retenu,4,8,3,19,13571675,Conforme,Oui,Non
Travaux,8924330,Caution,3,10,3,14,21626334,Conforme,Oui,Non
Services,4323024,Caution,3,7,5,17,44950656,Non conforme,Non,Oui
Services,9877519,Aucune,3,8,4,14,24571005,Non conforme,Oui,Non
Services,6783972,Caution,6,5,2,17,49289245,Conforme,Non,Oui
Services,4544525,Caution,8,6,2,18,27573905,Non conforme,Oui,Non
Services,5993386,Caution,4,4,5,19,30207309,Conforme,Non,Oui
Fournitures,7233511,Aucune,8,9,1,13,24120232,Conforme,Non,Oui
Services,9939444,Aucune,3,5,3,12,38374769,Conforme,Non,Non
Travaux,4503241,Retenu,6,1,3,13,27491236,Non conforme,Non,Non
Fournitures,9990504,Retenu,6,7,0,15,32664909,Conforme,Non,Oui
Travaux,4472807,Aucune,4,10,5,11,38547809,Non conforme,Oui,Non
Travaux,9753551,Retenu,8,3,0,15,42526501,Non conforme,Oui,Non
Fournitures,4815721,Aucune,8,5,2,13,13540032,Non conforme,Oui,Non
Services,9968492,Retenu,8,7,0,11,38680459,Non conforme,Non,Non
Travaux,9962065,Retenu,3,9,4,13,12752751,Non conforme,Non,Non
Fournitures,5212119,Caution,8,7,4,17,39530601,Non conforme,Non,Oui
Fournitures,9528648,Caution,3,9,3,18,39318683,Conforme,Non,Oui
Services,8150604,Retenu,8,9,3,13,40668310,Non conforme,Non,Non
Fournitures,9583001,Aucune,3,5,2,11,10131168,Non conforme,Non,Non
Travaux,4450294,Aucune,4,1,2,16,36016097,Conforme,Oui,Non
Services,9376568,Retenu,3,2,0,18,32280441,Conforme,Non,Oui
Travaux,7776241,Caution,3,5,4,11,43352493,Conforme,Non,Oui
Travaux,4794689,Retenu,8,7,3,11,32603755,Conforme,Oui,Non
Fournitures,7642966,Aucune,3,9,1,12,40953483,Conforme,Non,Oui
Services,8767883,Caution,3,8,4,20,39657684,Conforme,Oui,Non
Travaux,9918242,Aucune,8,10,1,14,27613868,Non conforme,Non,Non
Fournitures,7011802,Aucune,3,6,0,19,13525568,Conforme,Oui,Non
Travaux,7124703,Aucune,4,10,5,17,40144006,Non conforme,Non,Oui
Fournitures,8764164,Caution,6,10,5,20,48550772,Conforme,Oui,Non
Fournitures,8498748,Aucune,4,5,1,11,15860318,Conforme,Non,Non
Travaux,7641236,Retenu,8,6,5,18,24363391,Non conforme,Non,Oui
Fournitures,4881559,Caution,3,6,1,12,17978563,Conforme,Oui,Non
Services,4546113,Caution,4,9,4,10,17002606,Non conforme,Oui,Non
Travaux,8579490,Retenu,6,6,4,15,12174371,Conforme,Non,Oui
Travaux,4933389,Caution,8,9,4,10,25850859,Conforme,Oui,Non
Services,4894335,Retenu,8,7,5,19,45010001,Non conforme,Non,Oui
Services,7755569,Retenu,4,6,0,15,35495174,Conforme,Non,Oui
Travaux,7339817,Retenu,6,10,4,11,33268372,Conforme,Oui,Non
Fournitures,6915229,Caution,6,7,3,14,39286198,Non conforme,Oui,Non
Fournitures,6102271,Retenu,8,10,1,18,23356694,Non conforme,Non,Oui
Travaux,7230772,Retenu,8,5,0,17,14393876,Conforme,Non,Oui
Services,4159639,Retenu,6,6,3,18,11309254,Conforme,Oui,Non
Fournitures,6481117,Retenu,6,9,1,19,40898800,Conforme,Non,Oui
Travaux,8378964,Retenu,8,5,2,15,10518954,Conforme,Oui,Non
Travaux,4521199,Aucune,4,5,3,13,46982987,Non conforme,Non,Non
Travaux,6123797,Aucune,8,7,3,10,18016182,Non conforme,Oui,Non
Fournitures,4053397,Retenu,6,9,2,13,41916894,Conforme,Oui,Non
Services,8071060,Caution,3,2,4,18,48977607,Non conforme,Oui,Non
Fournitures,7315373,Aucune,6,3,5,18,10660019,Non conforme,Non,Oui
Travaux,8135883,Retenu,6,9,0,16,11826826,Conforme,Non,Oui
Services,4529818,Caution,6,5,5,18,17892224,Non conforme,Non,Oui
Services,7992417,Aucune,4,1,2,11,28120933,Non conforme,Oui,Non
Services,4507287,Caution,4,10,5,10,10492371,Conforme,Oui,Non
Fournitures,4047240,Retenu,4,4,2,19,27528587,Conforme,Oui,Non
Fournitures,4614876,Retenu,3,6,4,13,21672429,Non conforme,Oui,Non
Services,9102841,Aucune,3,10,4,10,11185859,Conforme,Oui,Non
Services,6874376,Caution,4,9,0,14,26834683,Non conforme,Oui,Non
Fournitures,4046246,Aucune,4,1,3,18,37641453,Non conforme,Oui,Non
Fournitures,9949615,Aucune,4,9,5,13,27785717,Non conforme,Non,Non
Travaux,8640046,Aucune,8,1,4,11,35471728,Non conforme,Non,Non
Travaux,6290231,Aucune,6,4,3,15,14244174,Conforme,Non,Oui
Travaux,8902104,Aucune,4,9,5,14,49362247,Conforme,Non,Oui
Fournitures,5864696,Retenu,3,10,5,19,36059647,Conforme,Non,Oui
Services,5625724,Retenu,3,3,0,14,49007607,Conforme,Non,Oui
Travaux,9831395,Aucune,3,5,2,13,45526215,Conforme,Non,Non
Fournitures,6968430,Caution,8,10,3,19,38273426,Conforme,Non,Oui
Services,5692608,Caution,8,3,1,12,34492718,Conforme,Oui,Non
Services,6605081,Retenu,4,1,3,19,38785255,Non conforme,Oui,Non
Fournitures,5811924,Aucune,3,9,4,11,13025705,Conforme,Oui,Non
Fournitures,9719707,Retenu,3,5,4,13,29162574,Non conforme,Non,Non
Services,4825627,Aucune,4,7,1,18,45247603,Non conforme,Oui,Non
Fournitures,8351468,Aucune,8,1,4,12,45020892,Conforme,Non,Non
Fournitures,8144795,Retenu,6,5,1,13,26166202,Conforme,Non,Oui
Fournitures,7650498,Caution,6,7,0,11,28448831,Non conforme,Oui,Non
Fournitures,6029132,Aucune,3,9,4,10,16307451,Non conforme,Non,Non
Services,6724110,Retenu,8,6,1,20,34075042,Non conforme,Non,Oui
Fournitures,5043094,Retenu,4,2,2,16,31156987,Non conforme,Non,Oui
Travaux,7406124,Caution,6,1,3,15,10502629,Non conforme,Non,Oui
Travaux,5877252,Retenu,8,1,4,20,16444935,Conforme,Oui,Non
Travaux,9337429,Retenu,6,1,3,14,27870789,Non conforme,Oui,Non
Travaux,9272393,Retenu,6,6,1,15,22321078,Conforme,Oui,Non
Fournitures,4600657,Caution,8,6,4,13,16882560,Non conforme,Oui,Non
Services,4322635,Retenu,3,6,4,14,24167964,Non conforme,Oui,Non
Fournitures,5072390,Caution,4,6,2,15,48472608,Non conforme,Non,Oui
Fournitures,8713230,Caution,3,9,0,17,35948178,Non conforme,Non,Oui
Travaux,9915994,Caution,8,6,0,16,17514713,Conforme,Oui,Non
Services,8546784,Caution,4,9,0,11,30865241,Conforme,Non,Oui
Fournitures,4356295,Retenu,4,9,5,16,33000079,Conforme,Non,Oui
Fournitures,8182625,Retenu,4,10,2,19,15778459,Conforme,Oui,Non
Travaux,5281674,Caution,3,8,3,10,33311128,Conforme,Non,Oui
Travaux,7333624,Caution,8,8,3,11,35059271,Conforme,Non,Oui
Travaux,7692844,Retenu,3,3,1,18,12355705,Non conforme,Oui,Non
Fournitures,4522291,Caution,4,6,3,16,20598202,Conforme,Non,Oui
Travaux,7569355,Caution,4,2,1,15,17772281,Conforme,Non,Oui
Fournitures,7669600,Retenu,8,7,2,15,34729129,Non conforme,Non,Oui
Travaux,4417176,Retenu,3,7,2,13,43561196,Non conforme,Non,Non
Services,8356394,Caution,8,4,3,15,23810540,Non conforme,Oui,Non
Travaux,4754364,Caution,4,8,0,10,48801579,Non conforme,Non,Non
Services,7874987,Aucune,4,4,0,19,46141159,Conforme,Non,Oui
Travaux,8376439,Aucune,3,7,3,20,48634738,Non conforme,Oui,Non
Services,9698722,Caution,6,2,1,16,41350565,Non conforme,Non,Oui
Travaux,8394784,Caution,8,5,5,16,17274702,Non conforme,Oui,Non
Fournitures,9127167,Aucune,3,4,3,15,48579599,Conforme,Non,Non
Travaux,9468641,Aucune,8,6,5,19,19098527,Non conforme,Oui,Non
Services,9379325,Retenu,6,6,4,16,22884484,Conforme,Non,Oui
Travaux,9677108,Retenu,8,2,2,15,39722061,Conforme,Non,Non
Fournitures,5971586,Aucune,3,4,1,10,34616117,Conforme,Oui,Non
Fournitures,5267359,Aucune,8,6,4,10,25886618,Non conforme,Oui,Non
Travaux,4980107,Aucune,4,5,5,13,27024108,Non conforme,Oui,Non
Travaux,7466312,Aucune,3,7,1,12,41101599,Non conforme,Non,Non
Services,5421835,Retenu,6,4,2,14,43323760,Conforme,Non,Oui
Fournitures,7518172,Retenu,4,1,2,18,35388838,Conforme,Oui,Non
Services,5691172,Retenu,8,5,4,16,27619343,Conforme,Oui,Non
Services,8877869,Retenu,8,2,5,13,44066088,Non conforme,Oui,Non
Services,8452318,Retenu,8,6,1,20,28386058,Non conforme,Non,Oui
Services,9753059,Aucune,6,7,2,14,44982951,Non conforme,Non,Non
Fournitures,8244095,Aucune,6,9,0,16,24564535,Non conforme,Non,Non
Services,7956269,Retenu,8,10,2,16,39470534,Conforme,Oui,Non
Travaux,6000079,Aucune,3,1,0,11,28761657,Non conforme,Non,Non
Services,4958804,Caution,4,5,3,16,43280555,Non conforme,Oui,Non
Fournitures,7872971,Caution,8,5,0,19,45260774,Conforme,Oui,Non
Services,9774044,Retenu,3,3,4,10,32768272,Conforme,Non,Oui
Travaux,5781833,Retenu,8,9,5,16,42403359,Conforme,Non,Oui
Travaux,5257553,Aucune,8,4,1,20,43877402,Non conforme,Oui,Non
Fournitures,6828649,Retenu,6,3,2,10,22949231,Non conforme,Oui,Non
Fournitures,4016099,Retenu,4,4,5,18,24728951,Conforme,Non,Oui
Travaux,6976116,Aucune,4,9,2,16,33041627,Conforme,Oui,Non
Services,7015143,Retenu,4,1,4,17,13019530,Conforme,Non,Oui
Travaux,8193983,Caution,3,9,3,13,31119730,Conforme,Oui,Non
Travaux,7830407,Retenu,4,3,1,19,35027684,Non conforme,Non,Oui
Services,5114847,Retenu,8,8,5,16,47134901,Non conforme,Non,Oui
Travaux,9828226,Aucune,3,9,2,17,48831654,Non conforme,Oui,Non
Fournitures,4260917,Caution,3,9,0,14,49833721,Conforme,Non,Oui
Services,5661710,Aucune,4,5,4,13,27070183,Non conforme,Non,Non
Travaux,8177968,Aucune,3,5,2,14,25793521,Conforme,Oui,Non
Fournitures,5134724,Caution,4,1,4,13,41691602,Non conforme,Non,Non
Services,7948034,Caution,4,2,0,14,37449067,Conforme,Oui,Non
Services,7785690,Retenu,6,4,5,11,48710496,Non conforme,Non,Non
Services,5985997,Caution,8,6,3,14,43634658,Conforme,Non,Oui
Travaux,6451500,Caution,8,4,0,13,25807213,Conforme,Oui,Non
Services,8162225,Retenu,6,8,5,16,29134754,Non conforme,Oui,Non
Services,4869695,Caution,8,6,3,19,29580381,Non conforme,Non,Oui
Services,4335956,Caution,3,2,0,14,47263591,Non conforme,Non,Oui
Services,7600848,Caution,4,2,1,15,48443738,Conforme,Oui,Non
Services,8185163,Retenu,6,1,3,14,18372149,Conforme,Non,Oui
Travaux,5065629,Retenu,6,3,0,14,11551719,Non conforme,Non,Oui
Services,8565350,Retenu,3,10,3,15,49614323,Non conforme,Non,Oui
Travaux,9970255,Caution,3,6,3,18,26532554,Non conforme,Oui,Non
Fournitures,6713565,Aucune,4,6,5,10,49008352,Conforme,Oui,Non
Services,4028471,Aucune,6,8,1,11,37507591,Conforme,Non,Oui
Services,8475814,Retenu,8,1,4,12,22322350,Conforme,Non,Oui
Services,7387355,Retenu,6,4,5,11,38173162,Conforme,Non,Oui
Travaux,9450830,Aucune,8,7,1,20,48273430,Conforme,Non,Oui
Travaux,6027385,Aucune,3,2,5,18,24793256,Non conforme,Non,Oui
Fournitures,7185574,Caution,4,10,5,10,20353940,Conforme,Oui,Non
Travaux,4317186,Retenu,6,4,4,10,35091275,Conforme,Non,Oui
Travaux,6416783,Caution,3,4,2,11,13969428,Non conforme,Non,Non
Travaux,7270160,Aucune,8,5,2,17,31324306,Conforme,Oui,Non
Travaux,7039473,Retenu,6,3,3,18,25367531,Conforme,Oui,Non
Fournitures,5131674,Caution,4,6,3,11,47028621,Conforme,Oui,Non
Services,9664622,Aucune,3,1,4,17,38636372,Conforme,Non,Non
Services,8995852,Aucune,6,1,5,19,31704854,Non conforme,Non,Oui
Fournitures,4984290,Aucune,3,1,4,15,33906641,Conforme,Oui,Non
Services,6994983,Retenu,3,2,0,12,23481411,Conforme,Non,Oui
Travaux,4793479,Caution,4,2,4,18,36790286,Conforme,Oui,Non
Fournitures,5899722,Retenu,3,4,2,20,46941438,Non conforme,Non,Oui
Travaux,9886582,Retenu,6,1,1,18,23820747,Conforme,Non,Non
Travaux,8280843,Aucune,6,7,2,12,18238884,Conforme,Non,Oui
Services,7202217,Aucune,3,9,1,13,23385339,Non conforme,Non,Non
Travaux,9331803,Aucune,4,3,5,17,22531686,Conforme,Non,Oui
Services,5526110,Retenu,6,4,1,10,22360341,Conforme,Non,Oui
Fournitures,5961982,Retenu,3,1,4,16,11617770,Non conforme,Non,Oui
Travaux,4951649,Aucune,3,8,4,10,27987487,Conforme,Non,Oui
Fournitures,9583389,Caution,8,3,2,13,49217479,Conforme,Non,Oui
Services,4728345,Aucune,6,7,0,14,36100325,Non conforme,Non,Oui
Services,4778937,Caution,3,10,3,19,31331555,Conforme,Non,Oui
Fournitures,5010040,Retenu,3,2,5,10,33924869,Non conforme,Non,Non
Fournitures,4769029,Caution,4,7,5,13,45109379,Non conforme,Oui,Non
Services,4736725,Caution,8,10,4,13,28617640,Non conforme,Oui,Non
Travaux,9855383,Aucune,3,7,1,15,33068996,Conforme,Oui,Non
Fournitures,9802742,Retenu,8,9,4,19,14258663,Conforme,Oui,Non
Travaux,5380329,Caution,8,5,4,17,46179448,Conforme,Non,Oui
Fournitures,6653835,Aucune,8,1,1,10,10082876,Non conforme,Oui,Non
Fournitures,6075602,Retenu,6,1,2,14,13163226,Non conforme,Oui,Non
Travaux,5232597,Aucune,3,6,4,20,43183059,Non conforme,Oui,Non
Travaux,4910434,Caution,6,9,2,16,37269724,Conforme,Non,Oui
Services,4641992,Aucune,8,3,4,15,44306558,Non conforme,Oui,Non
Travaux,8100397,Retenu,3,10,1,11,12104490,Conforme,Oui,Non
Fournitures,9309528,Retenu,6,1,5,19,15180657,Non conforme,Oui,Non
Travaux,5067528,Caution,6,4,2,15,46870835,Non conforme,Non,Oui
Travaux,4173406,Retenu,4,1,4,20,15325255,Non conforme,Non,Oui
Fournitures,5823138,Retenu,6,4,2,17,27998949,Non conforme,Oui,Non
Travaux,5369175,Aucune,3,4,3,20,38492424,Conforme,Oui,Non
Fournitures,9806737,Retenu,4,1,4,19,24229854,Non conforme,Oui,Non
Travaux,4414104,Retenu,6,7,4,17,35745180,Non conforme,Oui,Non
Fournitures,7157282,Caution,3,1,0,10,17316444,Non conforme,Non,Non
Fournitures,6258481,Retenu,4,6,0,19,29303168,Non conforme,Non,Oui
Travaux,5920442,Aucune,6,6,4,17,25766643,Conforme,Oui,Non
Travaux,9075862,Aucune,8,10,1,15,42115517,Non conforme,Non,Oui
Services,8951909,Caution,8,5,3,19,20055976,Conforme,Oui,Non
Fournitures,4358125,Aucune,6,2,1,14,26416690,Conforme,Oui,Non
Fournitures,6805582,Retenu,3,7,3,10,28559689,Conforme,Oui,Non
Services,8421187,Aucune,8,4,2,12,12510162,Conforme,Non,Oui
Travaux,7103206,Aucune,8,3,1,20,18654538,Non conforme,Non,Oui
Travaux,8595291,Aucune,4,5,2,20,38196715,Non conforme,Oui,Non
Services,6540247,Retenu,3,6,1,15,44923976,Conforme,Oui,Non
Services,9303583,Retenu,6,4,4,13,37466295,Conforme,Non,Oui
Fournitures,7899583,Retenu,8,8,5,13,17583591,Non conforme,Non,Non
Fournitures,5472848,Retenu,4,3,5,17,24900417,Non conforme,Non,Oui
Fournitures,5918159,Retenu,4,7,2,12,26912389,Non conforme,Non,Non
Fournitures,9385301,Caution,3,7,4,14,22702790,Conforme,Oui,Non
Fournitures,8098998,Retenu,8,2,3,13,36953125,Conforme,Oui,Non
Fournitures,5498068,Caution,4,5,4,14,34410992,Conforme,Oui,Non
Travaux,7952958,Retenu,3,8,4,20,22759824,Non conforme,Non,Oui
Fournitures,9293362,Retenu,6,2,2,15,34907871,Conforme,Non,Oui
Travaux,9275618,Caution,4,9,2,18,10538641,Non conforme,Non,Oui
Travaux,5429009,Caution,8,3,3,18,45472279,Conforme,Non,Oui
Services,8117256,Aucune,3,10,1,20,13059119,Non conforme,Oui,Non
Fournitures,8541615,Aucune,8,5,2,16,30788433,Non conforme,Oui,Non
Travaux,9548995,Retenu,8,2,3,12,37863871,Conforme,Non,Non
Services,6789426,Retenu,6,7,0,14,11669505,Conforme,Non,Oui
Travaux,4794739,Caution,8,8,1,20,19545291,Non conforme,Oui,Non
Services,8735647,Caution,8,2,5,19,42332431,Non conforme,Non,Oui
Travaux,4079698,Aucune,3,10,1,11,37702660,Conforme,Oui,Non
Fournitures,7118219,Caution,3,6,4,10,32343242,Non conforme,Non,Non
Travaux,4262916,Caution,4,4,0,17,12813696,Conforme,Non,Oui
Fournitures,9663071,Caution,6,1,0,13,29022287,Conforme,Non,Oui
Fournitures,5385353,Aucune,3,8,4,20,35265600,Conforme,Oui,Non
Fournitures,8661646,Retenu,4,8,0,15,47100905,Conforme,Oui,Non
Travaux,7636151,Aucune,4,2,0,18,22160757,Conforme,Oui,Non
Services,8294274,Aucune,6,5,1,11,46747558,Conforme,Oui,Non
Services,9262654,Caution,8,2,3,14,47042545,Non conforme,Non,Oui
Fournitures,5396633,Aucune,4,3,1,18,43998926,Non conforme,Non,Oui
Fournitures,8971897,Aucune,3,10,3,15,21741252,Conforme,Non,Non
Services,7687123,Caution,6,1,2,20,11999125,Non conforme,Oui,Non
Fournitures,6690352,Caution,6,6,2,15,35718126,Conforme,Oui,Non
Travaux,9842655,Caution,8,3,0,16,45056232,Non conforme,Non,Oui
Travaux,5659981,Aucune,3,5,0,18,24868118,Conforme,Non,Oui
Services,8504116,Retenu,6,7,0,18,30467168,Non conforme,Oui,Non
Services,5091497,Aucune,8,8,0,19,37933820,Conforme,Oui,Non
Travaux,7744582,Caution,3,1,0,19,10142753,Conforme,Oui,Non
Travaux,6399380,Caution,3,6,1,10,33203632,Conforme,Non,Oui
Fournitures,9796902,Caution,4,10,0,16,14945639,Non conforme,Oui,Non
Travaux,5624567,Caution,3,5,0,13,48684799,Non conforme,Oui,Non
Fournitures,9592139,Aucune,8,1,4,15,22276806,Non conforme,Oui,Non
Services,5991742,Retenu,8,1,0,10,25867911,Conforme,Non,Oui
Services,5144668,Aucune,6,1,3,17,36311829,Conforme,Non,Oui
Services,4632363,Retenu,3,1,3,14,26508656,Non conforme,Non,Oui
Fournitures,7996705,Aucune,4,7,4,15,37547400,Conforme,Non,Oui
Travaux,9778156,Aucune,8,5,3,15,23597729,Conforme,Non,Non
Fournitures,6813855,Aucune,3,10,5,11,35394366,Conforme,Non,Oui
Services,8010920,Retenu,8,8,0,18,19104202,Non conforme,Non,Oui
Travaux,6716249,Retenu,4,8,0,19,43627838,Conforme,Oui,Non
Services,9631538,Retenu,6,8,5,13,22419646,Non conforme,Oui,Non
Travaux,5686542,Retenu,6,10,1,10,49874286,Conforme,Non,Oui
Fournitures,9805400,Aucune,6,10,0,16,18950467,Conforme,Oui,Non
Fournitures,8391282,Caution,6,1,4,15,13873307,Conforme,Non,Oui
Travaux,9634076,Aucune,4,3,3,13,13972422,Non conforme,Non,Non
Travaux,4121909,Caution,3,4,2,18,18061432,Non conforme,Oui,Non
Travaux,6900540,Caution,8,6,2,18,42951921,Conforme,Oui,Non
Services,4843084,Retenu,6,3,4,16,40313448,Conforme,Oui,Non
Travaux,5386363,Caution,6,9,5,14,10569984,Conforme,Oui,Non
Travaux,8184471,Retenu,3,9,3,19,31104166,Non conforme,Non,Oui
Travaux,5673198,Retenu,4,10,3,13,26152351,Conforme,Oui,Non
Travaux,6115455,Caution,6,4,4,17,43458850,Conforme,Oui,Non
Fournitures,5781717,Aucune,4,9,5,20,18575998,Non conforme,Non,Oui
Fournitures,6342315,Aucune,6,7,3,11,24281138,Non conforme,Non,Non
Services,7403259,Retenu,4,10,5,10,11770324,Conforme,Non,Oui
Services,7029636,Caution,8,2,2,13,24865829,Conforme,Non,Oui
Fournitures,5708534,Aucune,3,5,4,11,39886140,Non conforme,Non,Non
Travaux,7474081,Caution,8,8,1,17,10670833,Non conforme,Oui,Non
Travaux,5609760,Retenu,8,2,5,17,22127678,Non conforme,Oui,Non
Travaux,7536467,Aucune,6,6,0,20,22133823,Non conforme,Oui,Non
Travaux,6897911,Retenu,4,1,0,20,28156108,Non conforme,Non,Oui
Fournitures,8464315,Caution,3,5,3,17,14798458,Conforme,Oui,Non
Services,5910311,Retenu,4,7,3,14,48933860,Conforme,Oui,Non
Fournitures,6328239,Retenu,8,5,5,15,37343798,Conforme,Oui,Non
Fournitures,6372612,Aucune,6,10,2,17,44089027,Conforme,Oui,Non
Services,5338260,Caution,8,4,5,13,49617242,Non conforme,Non,Non
Fournitures,9417150,Retenu,6,2,5,17,17073182,Non conforme,Non,Oui
